mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_activation,param_alpha,param_hidden_layer_sizes,param_learning_rate_init,param_max_iter,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
2.472585678100586,0.5223177280464573,0.0019832134246826174,2.4464766927486505e-05,identity,0.1,"(3, 2, 2)",0.001,500,"{'activation': 'identity', 'alpha': 0.1, 'hidden_layer_sizes': (3, 2, 2), 'learning_rate_init': 0.001, 'max_iter': 500}",0.7508532423208191,0.7452991452991453,0.7863247863247863,0.7654109589041096,0.7753001715265866,0.7646376608750893,0.015156562361341788,167,0.7706461275139067,0.7724550898203593,0.7596236099230111,0.7678495083368961,0.7619658119658119,0.766508029511997,0.004946067531614252
2.097230815887451,0.6912722400570183,0.001989126205444336,3.404530489372895e-05,identity,0.1,"(3, 2, 2)",0.001,1000,"{'activation': 'identity', 'alpha': 0.1, 'hidden_layer_sizes': (3, 2, 2), 'learning_rate_init': 0.001, 'max_iter': 1000}",0.7491467576791809,0.7452991452991453,0.7829059829059829,0.7654109589041096,0.7753001715265866,0.763612603263001,0.014537615100317825,202,0.7702182284980744,0.7745936698032506,0.7583404619332763,0.7708422402736212,0.7670940170940171,0.7682177235204479,0.0054839002899140865
1.8363040924072265,0.3499508585520669,0.002162265777587891,0.0003749686057712387,identity,0.1,"(3, 2, 2)",0.001,2000,"{'activation': 'identity', 'alpha': 0.1, 'hidden_layer_sizes': (3, 2, 2), 'learning_rate_init': 0.001, 'max_iter': 2000}",0.7440273037542662,0.7435897435897436,0.7846153846153846,0.7602739726027398,0.7753001715265866,0.7615613152177442,0.01644580484048366,252,0.772785622593068,0.7686056458511549,0.7596236099230111,0.7691321077383497,0.7658119658119659,0.7671917903835099,0.004387164205736644
0.7683555603027343,0.4052147090335538,0.0020302295684814452,3.07220078963824e-05,identity,0.1,"(3, 2, 2)",0.005,500,"{'activation': 'identity', 'alpha': 0.1, 'hidden_layer_sizes': (3, 2, 2), 'learning_rate_init': 0.005, 'max_iter': 500}",0.7372013651877133,0.7435897435897436,0.788034188034188,0.7705479452054794,0.7873070325900514,0.7653360549214351,0.021398858520022265,133,0.766367137355584,0.7698887938408896,0.757912745936698,0.7704147071398033,0.7713675213675214,0.7671901811280992,0.004937174390920617
0.9819948196411132,0.2860478478429714,0.001986980438232422,0.0006310672541783128,identity,0.1,"(3, 2, 2)",0.005,1000,"{'activation': 'identity', 'alpha': 0.1, 'hidden_layer_sizes': (3, 2, 2), 'learning_rate_init': 0.005, 'max_iter': 1000}",0.7440273037542662,0.7452991452991453,0.7914529914529914,0.7654109589041096,0.7632933104631218,0.7618967419747269,0.017220157055678025,250,0.7689345314505777,0.7681779298545766,0.7656116338751069,0.7704147071398033,0.7534188034188034,0.7653115211477736,0.006146735921250853
0.8367520809173584,0.15891941840740903,0.0020225048065185547,3.359080029393523e-05,identity,0.1,"(3, 2, 2)",0.005,2000,"{'activation': 'identity', 'alpha': 0.1, 'hidden_layer_sizes': (3, 2, 2), 'learning_rate_init': 0.005, 'max_iter': 2000}",0.757679180887372,0.7452991452991453,0.7931623931623931,0.7688356164383562,0.7804459691252144,0.7690844609824963,0.0167613499763522,36,0.7762088147197261,0.7750213857998289,0.7647562018819504,0.7691321077383497,0.7675213675213676,0.7705279755322445,0.004399185820267015
0.5975674629211426,0.11246577811471385,0.0020093917846679688,2.837401469671495e-05,identity,0.1,"(3, 2, 2)",0.01,500,"{'activation': 'identity', 'alpha': 0.1, 'hidden_layer_sizes': (3, 2, 2), 'learning_rate_init': 0.01, 'max_iter': 500}",0.7508532423208191,0.7452991452991453,0.7846153846153846,0.7602739726027398,0.7855917667238422,0.7653267023123862,0.016845416362627062,137,0.7749251176722294,0.7690333618477331,0.7557741659538066,0.7631466438648995,0.7619658119658119,0.7649690202608961,0.006519638175840731
0.47494988441467284,0.1342869309385029,0.0017915725708007812,0.000398525640316197,identity,0.1,"(3, 2, 2)",0.01,1000,"{'activation': 'identity', 'alpha': 0.1, 'hidden_layer_sizes': (3, 2, 2), 'learning_rate_init': 0.01, 'max_iter': 1000}",0.7491467576791809,0.7418803418803419,0.7777777777777778,0.7602739726027398,0.7821612349914236,0.7622480169862927,0.015672215908687618,242,0.7723577235772358,0.7690333618477331,0.7514970059880239,0.7657118426678068,0.7666666666666667,0.7650533201494932,0.007155490673475851
0.5545456886291504,0.2777133880925225,0.001995229721069336,1.8704906223368986e-05,identity,0.1,"(3, 2, 2)",0.01,2000,"{'activation': 'identity', 'alpha': 0.1, 'hidden_layer_sizes': (3, 2, 2), 'learning_rate_init': 0.01, 'max_iter': 2000}",0.7593856655290102,0.7487179487179487,0.7863247863247863,0.7585616438356164,0.7804459691252144,0.7666872027065151,0.014263026219939827,97,0.7740693196405648,0.7754491017964071,0.7668947818648417,0.7644292432663532,0.7645299145299145,0.7690744722196162,0.004744820537508484
2.3497369289398193,0.5093868329829038,0.00200347900390625,4.745126332099823e-05,identity,0.1,"(2, 2, 2)",0.001,500,"{'activation': 'identity', 'alpha': 0.1, 'hidden_layer_sizes': (2, 2, 2), 'learning_rate_init': 0.001, 'max_iter': 500}",0.7474402730375427,0.7487179487179487,0.7829059829059829,0.7602739726027398,0.7873070325900514,0.7653290419708532,0.016813513158273057,135,0.7740693196405648,0.7737382378100941,0.7604790419161677,0.7652843095339888,0.7692307692307693,0.768560335626317,0.005170081471297999
